sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
COK-100-STP-P1,FALSE,100.0,,,
COK-100-PBC-P1,FALSE,100.0,,,
WFR-030-CHK-P1,FALSE,30.0,,,
CAK-200-LMN-P1,FALSE,200.0,,,
CAK-045-CHK-P1,FALSE,45.0,,,
WFR-150-CHK-P1,FALSE,150.0,,,
WFR-150-CCN-P1,FALSE,150.0,,,
CAK-045-CHP-P1,FALSE,45.0,,,
CAK-045-VNL-P1,FALSE,45.0,,,
CAK-400-MRB-P1,FALSE,400.0,,,
CAK-200-CNW-P1,FALSE,200.0,,,
BRB-030-YST-P32,FALSE,2800.0,,,
BRB-030-HZL-P28,FALSE,900.0,,,
CAK-450-APL-P4,FALSE,2150.0,,,
SWT-075-MXC-P7,FALSE,660.0,,,
SWT-075-MX3-P7,FALSE,660.0,,,
SWT-075-BTR-P1,TRUE,120.0,,,
SWT-075-CHF-P1,TRUE,120.0,,,
SWT-075-MX2-P5,FALSE,500.0,,,
SWT-075-MX1-P4,TRUE,380.0,,,
BRB-030-LIM-P7,FALSE,800.0,,,
CHK-040-PMC-P15,FALSE,740.0,,,
COK-100-CCP-P3,FALSE,600.0,,,
SPD-350-HZL-P6,FALSE,3500.0,,,
BRB-030-YFF-P28,FALSE,999.0,,,
COK-100-CCP-P6,FALSE,980.0,,,
SPD-340-PBC-P1,FALSE,600.0,,,
COK-100-CCP-P8,FALSE,1400.0,,,
SPD-340-PBS-P1,FALSE,600.0,,,
GMY-075-COL-P4,TRUE,380.0,,,
COK-100-CCP-P4,FALSE,700.0,,,
COK-100-CCP-P2,FALSE,400.0,,,
COK-000-PLOV-P5,FALSE,850.0,,,
COK-000-CPC-P3,FALSE,680.0,,,
BRB-030-YFF-P3,TRUE,200.0,,,
COK-100-CCP-P1,FALSE,240.0,,,
SWT-075-CAP-P2,TRUE,200.0,,,
BRB-030-HZL-P8,TRUE,300.0,,,
WFR-160-CCN-P4,FALSE,800.0,,,
WFR-150-MCH-P4,FALSE,750.0,,,
WFR-150-MCH-P2,FALSE,2500.0,,,
BRB-030-YAP-P8,FALSE,1600.0,,,
WFR-150-MCH-P3,FALSE,600.0,,,
SND-176-DRK-P12,FALSE,2500.0,,,
SWT-075-STR-P5,FALSE,500.0,,,
SWT-075-TFE-P5,FALSE,500.0,,,
WFR-150-MCH-P6,FALSE,1100.0,,,
SWT-075-TFE-P2,TRUE,200.0,,,
WFR-150-MCH-P1,FALSE,250.0,,,
BRB-030-YST-P28,FALSE,999.0,,,
SND-176-VNL-P3,FALSE,680.0,,,
BRB-030-YAP-P3,TRUE,150.0,,,
GMY-075-COL-P1F,TRUE,120.0,,,
SWT-075-CAP-P3,TRUE,300.0,,,
COK-130-CHP-PR4,FALSE,740.0,,,
BRB-030-APC-P2,TRUE,110.0,,,
BRB-030-CRN-P2,FALSE,110.0,,,
BRB-030-LIM-P2,FALSE,110.0,,,
BRB-030-APC-P4,TRUE,170.0,,,
SAC-390-MPL-P4,FALSE,1900.0,,,
COK-135-GOJ-P4,FALSE,740.0,,,
COK-135-GOJ-P5,FALSE,900.0,,,
COK-135-GOJ-P6,FALSE,1200.0,,,
COK-145-ALD-P12,FALSE,2400.0,,,
SPD-350-HDU-P4,FALSE,2400.0,,,
SPD-350-WHT-P4,FALSE,2400.0,,,
SPD-350-DCW-P3,FALSE,1800.0,,,
SPD-350-WHT-P2,FALSE,1200.0,,,
BRB-030-YFF-P2,FALSE,110.0,,,
BRB-030-YST-P2,TRUE,110.0,,,
COK-145-ALD-P5,FALSE,900.0,,,
COK-145-ALD-P4,FALSE,750.0,,,
GMY-075-DRP-P4,TRUE,380.0,,,
SWT-075-MNT-P3,TRUE,300.0,,,
SWT-075-LMN-P2,TRUE,200.0,,,
SAC-360-CHK-P4,FALSE,1900.0,,,
COK-128-WHT-P6,FALSE,1200.0,,,
GMY-075-BER-P4,TRUE,380.0,,,
SND-176-VNL-P2,FALSE,500.0,,,
SND-176-DRK-P2,FALSE,500.0,,,
8O-P75Q-UYB9,TRUE,120.0,,,
BRB-030-YFF-P32,FALSE,999.0,,,
SAC-355-STR-P4,FALSE,1900.0,,,
BRB-030-CRN-P3,FALSE,999.0,,,
COK-000-HAP-P3,TRUE,680.0,,,
SWT-075-CAP-P5,FALSE,500.0,,,
COK-145-ALD-P1,FALSE,260.0,,,
BRB-030-APC-P6,TRUE,230.0,,,
BRB-030-YAP-P14,FALSE,850.0,,,
BRB-030-YFF-P4,TRUE,170.0,,,
COK-145-ALD-P7,FALSE,1350.0,,,
